,question_id,stem,metas,answer,analysis,knowledge_point_ids
10,1016505834427351043,<p>“平行教育法”体现的德育原则是( )</p>,"[{""key"":""A"",""value"":""严格要求和尊重信任相结合原则""},{""key"":""B"",""value"":""集体教育和个别教育相结合原则""},{""key"":""C"",""value"":""教育影响的一致性与连贯性原则""},{""key"":""D"",""value"":""正面教育与纪律约束相结合原则""}]","[""B""]",<p>否</p>,[]
11,1016505834431545344,<p>德育过程的基本矛盾是( )</p>,"[{""key"":""A"",""value"":""社会向学生提出的道德要求与学生已有的道德水平之间的矛盾""},{""key"":""B"",""value"":""教育者与受教育者的矛盾""},{""key"":""C"",""value"":""教育者与德育内容和方法的矛盾""},{""key"":""D"",""value"":""受教育者与德育内容和方法的矛盾""}]","[""A""]",<p>否</p>,[]
12,1016505834431545345,<p>德育过程一般由教育者、受教育者、德育内容和( )四要素构成。</p>,"[{""key"":""A"",""value"":""德育规律""},{""key"":""B"",""value"":""德育原则""},{""key"":""C"",""value"":""德育方法""},{""key"":""D"",""value"":""德育途径""}]","[""C""]",<p>否</p>,[]
13,1016505834431545346,<p>有同学检举小韩偷拿宿舍同学的东西，这样的事情已经是第三次了，老师将小韩叫到办公室，小韩承认确有此事，说自己想改掉这个毛病，但有时就是忍不住。教师应该从( )入手对小韩进行教育。</p>,"[{""key"":""A"",""value"":""道德认识""},{""key"":""B"",""value"":""道德情感""},{""key"":""C"",""value"":""道德意志""},{""key"":""D"",""value"":""道德行为""}]","[""C""]",<p>否</p>,[]
14,1016505834435739648,<p>马卡连柯认为，尊重人、信任人是教育人的前提。他指出，“我的基本原则永远是尽量多地要求一个人，也尽可能多地尊重一个人。”这体现的德育原则是( )</p>,"[{""key"":""A"",""value"":""严慈相济原则""},{""key"":""B"",""value"":""一致性和连贯性原则""},{""key"":""C"",""value"":""导向性原则""},{""key"":""D"",""value"":""教育性原则""}]","[""A""]",<p>否</p>,[]
15,1016505834435739649,<p>15.要统一社会各方面的教育影响，争取家长、社会和学校教育形成“三位一体”德育网络，这体现的是哪项原则？( )</p>,"[{""key"":""A"",""value"":""知行统一原则""},{""key"":""B"",""value"":""集体教育和个别教育相结合原则""},{""key"":""C"",""value"":""正面教育与纪律约束相结合原则""},{""key"":""D"",""value"":""教育影响的一致性与连贯性原则""}]","[""D""]",<p>否</p>,[]
16,1016505834439933952,<p>“教学如果没有进行道德教育，只是一种没有目的的手段。”赫尔巴特这一观点说明了德育的( )</p>,"[{""key"":""A"",""value"":""文化性功能""},{""key"":""B"",""value"":""个体性功能""},{""key"":""C"",""value"":""社会性功能""},{""key"":""D"",""value"":""教育性功能""}]","[""D""]",<p>否</p>,[]
17,1016505834439933953,<p>杨老师培养学生逐步掌握自我批评的方法，具有自我批评的能力和习惯，其运用的德育方法是( )</p>,"[{""key"":""A"",""value"":""品德评价法""},{""key"":""B"",""value"":""说服教育法""},{""key"":""C"",""value"":""环境陶冶法""},{""key"":""D"",""value"":""道德修养法""}]","[""D""]",<p>否</p>,[]
18,1016505834439933954,<p>学校对学生进行德育的重要而又特殊的途径是( )</p>,"[{""key"":""A"",""value"":""社会实践活动""},{""key"":""B"",""value"":""班主任工作""},{""key"":""C"",""value"":""课外、校外教育""},{""key"":""D"",""value"":""各科教学""}]","[""B""]",<p>否</p>,[]
19,1016505834444128256,<p>( )是用来形容受教育者良好品德的社会思想、政治准则、法纪道德规范的载体，也是受教育者学习、修养和内在化的客体，是教育者与受教育者双边活动的中介。</p>,"[{""key"":""A"",""value"":""德育途径""},{""key"":""B"",""value"":""德育方法""},{""key"":""C"",""value"":""德育手段""},{""key"":""D"",""value"":""德育内容""}]","[""D""]",<p>否</p>,[]
20,1016505834444128257,<p>孔子提倡君子要“躬自厚而薄责于人”。即与别人发生矛盾，首先应“求诸已”。这体现了哪种德育方法?( )</p>,"[{""key"":""A"",""value"":""榜样示范法""},{""key"":""B"",""value"":""言语说服法""},{""key"":""C"",""value"":""自我修养法""},{""key"":""D"",""value"":""品德评价法""}]","[""C""]",<p>否</p>,[]
21,1016505834444128258,<p>根据一定的要求和标准，对学生的思想、言行做出判断的德育方法是( )</p>,"[{""key"":""A"",""value"":""说服法""},{""key"":""B"",""value"":""陶冶法""},{""key"":""C"",""value"":""实际锻炼法""},{""key"":""D"",""value"":""品德评价法""}]","[""D""]",<p>否</p>,[]
22,1016505834448322560,<p>( )是德育个体功能的最高境界。</p>,"[{""key"":""A"",""value"":""生存性功能""},{""key"":""B"",""value"":""发展性功能""},{""key"":""C"",""value"":""享用性功能""},{""key"":""D"",""value"":""教育性功能""}]","[""C""]",<p>否</p>,[]
23,1016505834448322561,<p>“孟母三迁”体现的德育方法是( )</p>,"[{""key"":""A"",""value"":""说理教育法""},{""key"":""B"",""value"":""环境陶冶法""},{""key"":""C"",""value"":""榜样示范法""},{""key"":""D"",""value"":""角色扮演法""}]","[""B""]",<p>否</p>,[]
24,1016505834448322562,<p>德育目标确定了培养人的总体规格和要求，但必须落实到( )</p>,"[{""key"":""A"",""value"":""德育内容""},{""key"":""B"",""value"":""德育方法""},{""key"":""C"",""value"":""德育途径""},{""key"":""D"",""value"":""德育规律""}]","[""A""]",<p>否</p>,[]
25,1016505834448322563,<p>品德发展所具有的( )表明，德育既可以从知到行，也可以从行到知，或者从情开始，兼之以知和行。</p>,"[{""key"":""A"",""value"":""随机性""},{""key"":""B"",""value"":""层次性""},{""key"":""C"",""value"":""多端性""},{""key"":""D"",""value"":""多项选择性""}]","[""C""]",<p>否</p>,[]
26,1016505834448322564,<p>( )是学生思想品德形成的基础，也是学生思想品德发展的基本过程。</p>,"[{""key"":""A"",""value"":""活动与交往""},{""key"":""B"",""value"":""自省与慎独""},{""key"":""C"",""value"":""劳动教育""},{""key"":""D"",""value"":""课堂教学""}]","[""A""]",<p>否</p>,[]
27,1016505834452516864,<p>“5+2=0”现象是目前德育中存在的一个突出的问题，为了解决这个问题，学校德育中应该坚持( )</p>,"[{""key"":""A"",""value"":""疏导性原则""},{""key"":""B"",""value"":""理论联系实际原则""},{""key"":""C"",""value"":""导向性原则""},{""key"":""D"",""value"":""教育的一致性与连贯性原则""}]","[""D""]",<p>否</p>,[]
28,1016505834452516865,<p>在现实教育中，学生经常出现“屡教不改”的现象，这反映了德育过程( )</p>,"[{""key"":""A"",""value"":""是知、情、意 、行相统一的过程""},{""key"":""B"",""value"":""是教育和自我教育相统一的过程""},{""key"":""C"",""value"":""是长期、反复、不断提高的过程""},{""key"":""D"",""value"":""能促进受教育者思想品德发展积极转化""}]","[""C""]",<p>否</p>,[]
29,1016505834452516866,"<p>一名学生的家长和老师要求该学生不与同学吵架,他不但不听,还在班里闹事。班主任跟他说明家长和教师的做法背后的原因后,他明白了其中的道理，不再闹事。这属于( )</p>","[{""key"":""A"",""value"":""说服教育法""},{""key"":""B"",""value"":""情感熏陶法""},{""key"":""C"",""value"":""实践锻炼法""},{""key"":""D"",""value"":""品德评价法""}]","[""A""]",<p>否</p>,[]
30,1016505834456711168,<p>30.说服教育法的主要方式有语言文字说服和( )</p>,"[{""key"":""A"",""value"":""事实说服""},{""key"":""B"",""value"":""理论说服""},{""key"":""C"",""value"":""直接说服""},{""key"":""D"",""value"":""间接说服""}]","[""A""]",<p>否</p>,[]
31,1016505834465099776,<p>下列属于我国学校德育基本内容的有( )</p>,"[{""key"":""A"",""value"":""道德教育""},{""key"":""B"",""value"":""政治教育""},{""key"":""C"",""value"":""思想教育""},{""key"":""D"",""value"":""纪律教育""}]","[""A"",""B"",""C""]",<p>否</p>,[]
32,1016505834465099777,<p>我国中小学常用的德育方法有( )</p>,"[{""key"":""A"",""value"":""说理教育法""},{""key"":""B"",""value"":""榜样示范法""},{""key"":""C"",""value"":""实践锻炼法""},{""key"":""D"",""value"":""品德评价法""}]","[""A"",""B"",""C"",""D""]",<p>否</p>,[]
33,1016505834465099778,<p>教师在运用说服法对学生进行德育教育时，应注意的要求有( )</p>,"[{""key"":""A"",""value"":""明确目的性""},{""key"":""B"",""value"":""以诚待人""},{""key"":""C"",""value"":""注意时机""},{""key"":""D"",""value"":""调动学生主动性""}]","[""A"",""B"",""C""]",<p>否</p>,[]
34,1016505834469294080,<p>德育原则是根据( )提出的指导德育工作的基本要求。</p>,"[{""key"":""A"",""value"":""教育目的""},{""key"":""B"",""value"":""德育目标""},{""key"":""C"",""value"":""德育过程的规律""},{""key"":""D"",""value"":""德育方法""}]","[""A"",""B"",""C""]",<p>否</p>,[]
35,1016505834469294081,<p>贯彻德育疏导原则的基本要求有哪些？( )</p>,"[{""key"":""A"",""value"":""讲明道理，疏导思想""},{""key"":""B"",""value"":""因势利导，循循善诱""},{""key"":""C"",""value"":""对学生的评价和要求要坚持知行统一原则""},{""key"":""D"",""value"":""以表扬激励为主，坚持正面教育""}]","[""A"",""B"",""D""]",<p>否</p>,[]
36,1016505834469294082,<p>陶冶法主要包括( )</p>,"[{""key"":""A"",""value"":""人格感化""},{""key"":""B"",""value"":""环境陶冶""},{""key"":""C"",""value"":""艺术陶冶""},{""key"":""D"",""value"":""启发陶冶""}]","[""A"",""B"",""C""]",<p>否</p>,[]
37,1016505834469294083,<p>我国学校的德育内容包括道德教育、政治、思想、法制教育和心理健康教育，其中心理健康教育包括( )</p>,"[{""key"":""A"",""value"":""学习辅导""},{""key"":""B"",""value"":""生活辅导""},{""key"":""C"",""value"":""择业指导""},{""key"":""D"",""value"":""心理治疗""}]","[""A"",""B"",""C""]",<p>否</p>,[]
38,1016505834473488384,<p>坚持表扬奖励与批评处分要注意以下哪几点要求？( )</p>,"[{""key"":""A"",""value"":""坚持严格要求""},{""key"":""B"",""value"":""注重宣传与教育""},{""key"":""C"",""value"":""发扬民主，获得群众支持""},{""key"":""D"",""value"":""与启发说服相结合""},{""key"":""E"",""value"":""公平、正确、合情合理""}]","[""B"",""C"",""E""]",<p>否</p>,[]
39,1016505834473488385,<p>榜样的种类主要包括( )</p>,"[{""key"":""A"",""value"":""教育者示范""},{""key"":""B"",""value"":""伟人及英雄人物典范""},{""key"":""C"",""value"":""学生优秀典型""},{""key"":""D"",""value"":""小说中人物形象""}]","[""A"",""B"",""C""]",<p>否</p>,[]
40,1016505834473488386,<p>下列体现对因材施教的基本要求，说法正确的是( )</p>,"[{""key"":""A"",""value"":""发展的眼光全面深入了解学生""},{""key"":""B"",""value"":""选择相同的教育内容和方法，防止一般化、成人化、模块化""},{""key"":""C"",""value"":""注重学生个别差异""},{""key"":""D"",""value"":""因材施教""},{""key"":""E"",""value"":""正确认识和评价青少年学生的思想特点""}]","[""A"",""C"",""D"",""E""]",<p>否</p>,[]
41,1016505834477682688,<p>下列属于品德评价的内容的是( )</p>,"[{""key"":""A"",""value"":""讽刺""},{""key"":""B"",""value"":""惩罚""},{""key"":""C"",""value"":""奖励""},{""key"":""D"",""value"":""操行评定""}]","[""B"",""C"",""D""]",<p>否</p>,[]
42,1016505834477682689,<p>就目前我国学校德育的构成来看，中小学主要的德育途径包括( )</p>,"[{""key"":""A"",""value"":""劳动和其他社会实践""},{""key"":""B"",""value"":""课外活动和校外活动""},{""key"":""C"",""value"":""思想政治课和其他学科教学""},{""key"":""D"",""value"":""共青团、少先队活动""}]","[""A"",""B"",""C"",""D""]",<p>否</p>,[]
43,1016505834477682690,<p>德育方法有很多，榜样示范法是很重要的一种，下列能体现这种方法的是( )</p>,"[{""key"":""A"",""value"":""“桃李不言，下自成蹊”""},{""key"":""B"",""value"":""“其身正，不令则行，其身不正，虽令不从”""},{""key"":""C"",""value"":""“有比较，才有鉴别”""},{""key"":""D"",""value"":""“孟母三迁”""}]","[""A"",""B""]",<p>否</p>,[]
44,1016505834477682691,<p>关于教师贯彻德育工作导向性原则，说法错误的是( )</p>,"[{""key"":""A"",""value"":""用社会主义的共同理想教育受教育者""},{""key"":""B"",""value"":""对学生晓之以理，因势利导""},{""key"":""C"",""value"":""要一分为二的看待学生""},{""key"":""D"",""value"":""要通过集体教育学生个人""}]","[""B"",""C"",""D""]",<p>否</p>,[]
45,1016505834481876992,<p>在德育过程中运用陶冶法要注意以下几点要求( )</p>,"[{""key"":""A"",""value"":""创设良好的情境""},{""key"":""B"",""value"":""富有知识性、趣味性""},{""key"":""C"",""value"":""与启发说服相结合""},{""key"":""D"",""value"":""引导学生参与情境的创设""}]","[""A"",""C"",""D""]",<p>否</p>,[]
46,1016505834481876993,<p>说服教育的具体方式是( )</p>,"[{""key"":""A"",""value"":""讲解""},{""key"":""B"",""value"":""报告""},{""key"":""C"",""value"":""表扬""},{""key"":""D"",""value"":""谈话""}]","[""A"",""B"",""D""]",<p>否</p>,[]
47,1016505834481876994,<p>下列说法，正确的有( )</p>,"[{""key"":""A"",""value"":""德育过程是教育与自我教育的统一过程""},{""key"":""B"",""value"":""思想品德教育过程等同于思想品德形成的过程""},{""key"":""C"",""value"":""德育过程是一个长期的、反复的、稳步提高的过程""},{""key"":""D"",""value"":""德育过程可以从培养学生知、情、意、行的任何一个方面开始""}]","[""A"",""D""]",<p>否</p>,[]
48,1016505834486071296,<p>榜样示范法是以他人的( )来影响学生品德的方法。</p>,"[{""key"":""A"",""value"":""高尚思想""},{""key"":""B"",""value"":""模范行为""},{""key"":""C"",""value"":""优异成就""},{""key"":""D"",""value"":""生活习惯""}]","[""A"",""B"",""C""]",<p>否</p>,[]
49,1016505834486071297,<p>在德育方法中，( )是陶冶法的典型特征。</p>,"[{""key"":""A"",""value"":""摆事实、讲道理""},{""key"":""B"",""value"":""创设良好的情境""},{""key"":""C"",""value"":""组织学生进行实际活动""},{""key"":""D"",""value"":""操行评定""},{""key"":""E"",""value"":""潜移默化""}]","[""B"",""E""]",<p>否</p>,[]
50,1016505834486071298,<p>德育的社会性功能具体包括对( )发挥的客观作用。</p>,"[{""key"":""A"",""value"":""政治""},{""key"":""B"",""value"":""经济""},{""key"":""C"",""value"":""文化""},{""key"":""D"",""value"":""受教育者""}]","[""A"",""B"",""C""]",<p>否</p>,[]
51,1016505834498654208,<p>德育过程是由教育者、受教育者、德育内容三个相互制约的要素构成。( )</p>,[],"[""错误""]",<p>否</p>,[]
52,1016505834498654209,<p>道德意志既是德育目的的手段，也是品德的外部标志。( )</p>,[],"[""错误""]",<p>否</p>,[]
53,1016505834498654210,<p>依靠积极因素，克服消极因素的原则主要适用于比较后进的学生。( )</p>,[],"[""错误""]",<p>否</p>,[]
54,1016505834498654211,<p>以一分为二的观点看待学生体现了正面教育与纪律约束相结合原则。( )</p>,[],"[""错误""]",<p>否</p>,[]
55,1016505834498654212,<p>学校教育要坚持“德育为先”的理念，因此学校的思想政治教育课程及活动比其他教育活动更重要。( )</p>,[],"[""错误""]",<p>否</p>,[]
56,1016505834502848512,<p>在日常教育活动中，学校德育的基本方法是情感陶冶法。( )</p>,[],"[""错误""]",<p>否</p>,[]
57,1016505834502848513,<p>在德育过程中起主导作用的是受教育者。( )</p>,[],"[""错误""]",<p>否</p>,[]
58,1016505834502848514,<p>我国学校德育的范畴包括心理健康教育。( )</p>,[],"[""正确""]",<p>否</p>,[]
59,1016505834502848515,<p>德育过程中，尊重信任与严格要求是一对矛盾，在教育实践中难以协调。( )</p>,[],"[""错误""]",<p>否</p>,[]
60,1016505834502848516,<p>“一把钥匙开一把锁”体现了德育原则中的因材施教的原则。( )</p>,[],"[""正确""]",<p>否</p>,[]
61,1016505834511237120,<p>在德育过程中，要求遵循尊重信任学生与严格要求学生相结合的原则，教师如何才能做到？</p>,[],"[""<p>（1）要尊重、信任、爱护学生；（2）教育者对学生提出的要求要合理正确、明确具体和严宽适度；（3）教育者对学生提出的要求应坚定不渝地认真执行。</p>""]",<p>否</p>,[]
62,1016505834515431424,<p>请简述依靠积极因素克服消极因素原则的含义及贯彻要求。</p>,[],"[""<p>含义：在德育工作中，教育者要善于依靠、发扬学生自身的积极因素，调动学生自我教育的积极性，克服消极因素，达到长善救失的目的。</p><p>基本要求：（1）教育者要用一分为二的观点，全面分析，客观地评价学生的优点和不足；（2）教育者要有意识地创造条件，将学生思想中的消极因素转化为积极因素；（3）教育者要提高学生自我认识、自我评价能力，启发他们自觉思考，克服缺点，发扬优点。</p>""]",<p>否</p>,[]
63,1016506383097380864,<p>学校行政体系中最基层的行政组织是( )</p>,"[{""key"":""A"",""value"":""教务处""},{""key"":""B"",""value"":""政教处""},{""key"":""C"",""value"":""班级""},{""key"":""D"",""value"":""团委""}]","[""C""]",<p>否</p>,[]
64,1016506383097380865,<p>以下不属于班级组织管理工作的是( )</p>,"[{""key"":""A"",""value"":""指导学生成立自治组织""},{""key"":""B"",""value"":""丰富班级管理角色""},{""key"":""C"",""value"":""班级小干部的岗位轮换""},{""key"":""D"",""value"":""形成班级管理角色的动态分配制度""}]","[""A""]",<p>否</p>,[]
65,1016506383097380866,<p>下列不属于班级组织的个体化功能的是( )</p>,"[{""key"":""A"",""value"":""促进发展功能""},{""key"":""B"",""value"":""满足需求功能""},{""key"":""C"",""value"":""预防功能""},{""key"":""D"",""value"":""诊断功能""}]","[""C""]",<p>否</p>,[]
66,1016506383101575168,<p>教师根据一定的目的要求，采用一定的手段措施，带领班级学生，对班级中各种资源进行计划、组织、协调、控制，以实现教育目标的组织活动过程是( )</p>,"[{""key"":""A"",""value"":""教学""},{""key"":""B"",""value"":""德育""},{""key"":""C"",""value"":""班级管理""},{""key"":""D"",""value"":""常规管理""}]","[""C""]",<p>否</p>,[]
67,1016506383101575169,<p>通过制定和执行规章制度来管理班级的管理模式是( )</p>,"[{""key"":""A"",""value"":""民主管理""},{""key"":""B"",""value"":""平行管理""},{""key"":""C"",""value"":""目标管理""},{""key"":""D"",""value"":""常规管理""}]","[""D""]",<p>否</p>,[]
68,1016506383101575170,<p>班主任工作的首要任务是( )</p>,"[{""key"":""A"",""value"":""形成良好的学习风气""},{""key"":""B"",""value"":""组建良好的班集体""},{""key"":""C"",""value"":""进行思想品德教育""},{""key"":""D"",""value"":""协调各方面教育影响""}]","[""B""]",<p>否</p>,[]
69,1016506383105769472,"<p>全班已成为一个组织制度健全的有机整体,整个班级洋溢着一种平等、和谐、上进、合作的心理氛围,学生积极参与班级的管理活动,并使自己的个性特长得到充分发展。这属于班集体形成的( )</p>","[{""key"":""A"",""value"":""组建阶段""},{""key"":""B"",""value"":""形成阶段""},{""key"":""C"",""value"":""发展阶段""},{""key"":""D"",""value"":""成熟阶段""}]","[""D""]",<p>否</p>,[]
70,1016506383105769473,<p>班主任工作计划包括( )</p>,"[{""key"":""A"",""value"":""学期计划、月计划和具体活动计划""},{""key"":""B"",""value"":""全面计划和专题计划""},{""key"":""C"",""value"":""课内计划和课外计划""},{""key"":""D"",""value"":""教学工作计划和思想工作计划""}]","[""A""]",<p>否</p>,[]
71,1016506383105769474,<p>在班级开展的各项活动中，每一个成员都会通过自己和他人的表现以及所获得的评价，判断其表现的优势与不足，这主要体现了班级的( )</p>,"[{""key"":""A"",""value"":""矫正功能""},{""key"":""B"",""value"":""诊断功能""},{""key"":""C"",""value"":""促进发展功能""},{""key"":""D"",""value"":""社会化功能""}]","[""B""]",<p>否</p>,[]
72,1016506383109963776,<p>班主任对学生的个别教育指的是( )</p>,"[{""key"":""A"",""value"":""个别指导优秀生""},{""key"":""B"",""value"":""指导学生集体""},{""key"":""C"",""value"":""个别指导后进生""},{""key"":""D"",""value"":""对全班每一位同学进行个别指导""}]","[""D""]",<p>否</p>,[]
73,1016506383109963777,<p>班集体形成的基础是( )</p>,"[{""key"":""A"",""value"":""明确的共同目标""},{""key"":""B"",""value"":""一定的组织结构""},{""key"":""C"",""value"":""一定的共同生活的准则""},{""key"":""D"",""value"":""集体成员之间平等、心理相容的氛围""}]","[""A""]",<p>否</p>,[]
74,1016506383109963778,<p>衡量一个班级是不是一个良好的集体关键要看( )</p>,"[{""key"":""A"",""value"":""有没有浓厚的学习氛围""},{""key"":""B"",""value"":""班干部队伍是否建立起来""},{""key"":""C"",""value"":""有没有共同的奋斗目标""},{""key"":""D"",""value"":""班主任与任课教师是否团结协作""}]","[""C""]",<p>否</p>,[]
75,1016506383114158080,<p>“没有规矩不成方圆”因此在组织和培养班集体时应( )</p>,"[{""key"":""A"",""value"":""确立班集体的目标""},{""key"":""B"",""value"":""全面了解和研究学生""},{""key"":""C"",""value"":""建立健全必要的班级规范""},{""key"":""D"",""value"":""开展丰富多彩的集体活动""}]","[""C""]",<p>否</p>,[]
76,1016506383114158081,<p>( )是班级教学管理的核心。</p>,"[{""key"":""A"",""value"":""教学质量管理""},{""key"":""B"",""value"":""班级活动管理""},{""key"":""C"",""value"":""班级组织管理""},{""key"":""D"",""value"":""班级制度管理""}]","[""A""]",<p>否</p>,[]
77,1016506383114158082,<p>班主任工作的中心环节是( )</p>,"[{""key"":""A"",""value"":""了解和研究学生""},{""key"":""B"",""value"":""教好与管好学生""},{""key"":""C"",""value"":""做好个别教育工作""},{""key"":""D"",""value"":""组织和培养班集体""}]","[""D""]",<p>否</p>,[]
78,1016506383114158083,<p>一般来说，学生操行评定的主要负责人是( )</p>,"[{""key"":""A"",""value"":""科任教师""},{""key"":""B"",""value"":""班主任""},{""key"":""C"",""value"":""班委会""},{""key"":""D"",""value"":""大队辅导员""}]","[""B""]",<p>否</p>,[]
79,1016506383118352384,"<p>在班级管理中,下列行为属于有效做法的有( )</p>","[{""key"":""A"",""value"":""忽视成绩落后的学生""},{""key"":""B"",""value"":""在学生取得进步时,可适当提高要求""},{""key"":""C"",""value"":""只把班干部看成是老师的“助手”""},{""key"":""D"",""value"":""严禁学生自由组合小群体""}]","[""B""]",<p>否</p>,[]
80,1016506383118352385,<p>班级文化中最活跃的因素是( )</p>,"[{""key"":""A"",""value"":""班级物质文化""},{""key"":""B"",""value"":""班级行为文化""},{""key"":""C"",""value"":""班级制度文化""},{""key"":""D"",""value"":""班级精神文化""}]","[""B""]",<p>否</p>,[]
81,1016506383118352386,<p>人们常说“三个臭皮匠，顶个诸葛亮”“人心齐，泰山移”。这体现在班集体建设中的道理是( )</p>,"[{""key"":""A"",""value"":""班集体的力量在于团结""},{""key"":""B"",""value"":""班集体的力量在于竞争""},{""key"":""C"",""value"":""班集体的力量在于成员的多少""},{""key"":""D"",""value"":""班集体的力量在于少数精英的支撑""}]","[""A""]",<p>否</p>,[]
82,1016506383122546688,<p>刚接手新的班级，班主任张老师利用学生的登记表、学籍卡、体格检查表、学习手册等对学生进行分析和研究。张老师利用的是( )</p>,"[{""key"":""A"",""value"":""观察法""},{""key"":""B"",""value"":""谈话法""},{""key"":""C"",""value"":""调查法""},{""key"":""D"",""value"":""书面材料分析法""}]","[""D""]",<p>否</p>,[]
83,1016506383122546689,<p>班主任的工作重点和最为经常的工作是( )</p>,"[{""key"":""A"",""value"":""全面了解和研究学生""},{""key"":""B"",""value"":""整合各方面教育影响使其形成正向合力""},{""key"":""C"",""value"":""对学生进行品德教育""},{""key"":""D"",""value"":""教育学生努力学习""}]","[""C""]",<p>否</p>,[]
84,1016506383122546690,<p>下列关于班集体的概念说法不正确的一项是( )</p>,"[{""key"":""A"",""value"":""班集体就是班群体""},{""key"":""B"",""value"":""集体是群体发展的高级阶段""},{""key"":""C"",""value"":""纪律松驰、涣散的群体算不上集体""},{""key"":""D"",""value"":""不是任何一个班都能称得上班集体""}]","[""A""]",<p>否</p>,[]
85,1016506383126740992,<p>目标管理由美国管理学家( )提出。</p>,"[{""key"":""A"",""value"":""德鲁克""},{""key"":""B"",""value"":""马卡连柯""},{""key"":""C"",""value"":""皮亚杰""},{""key"":""D"",""value"":""布鲁纳""}]","[""A""]",<p>否</p>,[]
86,1016506383126740993,<p>班主任在班级管理体制中的领导影响力主要表现在职权影响力和( )</p>,"[{""key"":""A"",""value"":""文化影响力""},{""key"":""B"",""value"":""性别影响力""},{""key"":""C"",""value"":""个性影响力""},{""key"":""D"",""value"":""学术影响力""}]","[""C""]",<p>否</p>,[]
87,1016506383126740994,<p>班主任了解学生的主要方法是( )</p>,"[{""key"":""A"",""value"":""观察法""},{""key"":""B"",""value"":""调查法""},{""key"":""C"",""value"":""问卷调查法""},{""key"":""D"",""value"":""学生作品分析法""}]","[""A""]",<p>否</p>,[]
88,1016506383139323904,<p>班级管理的模式有( )</p>,"[{""key"":""A"",""value"":""常规管理""},{""key"":""B"",""value"":""分散管理""},{""key"":""C"",""value"":""平行管理""},{""key"":""D"",""value"":""民主管理""}]","[""A"",""C"",""D""]",<p>否</p>,[]
