point_id,parent_id,point_title,system_title
390179026367213576_wx,390179232534085632_wx,线性方程组,教师资格初中数学知识点
390179026367213579_wx,390179232534085632_wx,欧氏空间,教师资格初中数学知识点
390179232559251456_wx,390179232487948288_wx,空间解析几何,教师资格初中数学知识点
390179026367213580_wx,390179232559251456_wx,空间直角坐标系与向量,教师资格初中数学知识点
390179232580222976_wx,390179232487948288_wx,概率论与数理统计,教师资格初中数学知识点
390179026367213581_wx,390179232559251456_wx,空间平面与直线,教师资格初中数学知识点
390179232601194496_wx,390179232487948288_wx,中学数学知识,教师资格初中数学知识点
390179026367213582_wx,390179232559251456_wx,空间曲面与曲线,教师资格初中数学知识点
390179232613777408_wx,0,数学课程知识,教师资格初中数学知识点
390179026367213583_wx,390179232580222976_wx,随机事件和概率,教师资格初中数学知识点
390179232630554624_wx,390179232613777408_wx,初中数学课程概述,教师资格初中数学知识点
390179026367213584_wx,390179232580222976_wx,随机变量及其分布,教师资格初中数学知识点
390179232651526144_wx,390179232613777408_wx,课程目标,教师资格初中数学知识点
390179026367213585_wx,390179232580222976_wx,随机变量的数字特征,教师资格初中数学知识点
390179232676691968_wx,390179232613777408_wx,课程内容标准,教师资格初中数学知识点
390179026367213568_wx,390179232513114112_wx,极限与连续,教师资格初中数学知识点
390179026367213586_wx,390179232580222976_wx,统计量与参数估计,教师资格初中数学知识点
390179232697663488_wx,390179232613777408_wx,实施建议,教师资格初中数学知识点
390179026367213569_wx,390179232513114112_wx,一元函数微分学,教师资格初中数学知识点
390179026367213587_wx,390179232601194496_wx,数与代数,教师资格初中数学知识点
390179232710246400_wx,0,数学教学知识,教师资格初中数学知识点
390179026367213570_wx,390179232513114112_wx,多元函数微分学,教师资格初中数学知识点
390179026367213588_wx,390179232601194496_wx,集合、逻辑与算法初步,教师资格初中数学知识点
390179232727023616_wx,390179232710246400_wx,教学方法与教学原则,教师资格初中数学知识点
390179026367213571_wx,390179232513114112_wx,一元函数积分学,教师资格初中数学知识点
390179026367213589_wx,390179232601194496_wx,函数,教师资格初中数学知识点
390179232747995136_wx,390179232710246400_wx,教学内容,教师资格初中数学知识点
390179026367213572_wx,390179232513114112_wx,无穷级数,教师资格初中数学知识点
390179026367213590_wx,390179232601194496_wx,数列、不等式与排列组合,教师资格初中数学知识点
390179232768966656_wx,390179232710246400_wx,初中数学学习方式,教师资格初中数学知识点
390179026367213591_wx,390179232601194496_wx,平面几何与立体几何,教师资格初中数学知识点
390179232785743872_wx,0,数学教学技能,教师资格初中数学知识点
401077094223519744_wx,390179232534085632_wx,线性相关性,教师资格初中数学知识点
390179026367213592_wx,390179232601194496_wx,解析几何,教师资格初中数学知识点
390179232802521088_wx,390179232785743872_wx,数学教学设计,教师资格初中数学知识点
390179026367213593_wx,390179232601194496_wx,向量与复数,教师资格初中数学知识点
390179232823492608_wx,390179232785743872_wx,数学教学实施,教师资格初中数学知识点
390179026367213594_wx,390179232601194496_wx,推理与证明,教师资格初中数学知识点
390179232844464128_wx,390179232785743872_wx,数学教学评价,教师资格初中数学知识点
390179026367213595_wx,390179232601194496_wx,统计与概率,教师资格初中数学知识点
390179026367213596_wx,390179232601194496_wx,数学史,教师资格初中数学知识点
390179026367213597_wx,390179232630554624_wx,初中数学课程性质和基本理念,教师资格初中数学知识点
390179026367213598_wx,390179232630554624_wx,初中数学课程设计思路,教师资格初中数学知识点
390179026367213599_wx,390179232651526144_wx,总目标,教师资格初中数学知识点
390179026367213600_wx,390179232651526144_wx,学段目标,教师资格初中数学知识点
390179026367213601_wx,390179232676691968_wx,数 与代数,教师资格初中数学知识点
390179026367213602_wx,390179232676691968_wx,图形与几何,教师资格初中数学知识点
390179026367213603_wx,390179232676691968_wx,统计 与概率,教师资格初中数学知识点
390179026367213604_wx,390179232676691968_wx,综合与实践,教师资格初中数学知识点
390179026367213605_wx,390179232697663488_wx,教学建议,教师资格初中数学知识点
390179026367213606_wx,390179232697663488_wx,评价建议,教师资格初中数学知识点
390179026367213607_wx,390179232697663488_wx,教材编写建议,教师资格初中数学知识点
390179026367213608_wx,390179232697663488_wx,课程资源开发与利用建议,教师资格初中数学知识点
390179026367213609_wx,390179232727023616_wx,常用的教学方法,教师资格初中数学知识点
390179026367213610_wx,390179232727023616_wx,教学原则,教师资格初中数学知识点
390179026367213611_wx,390179232747995136_wx,概念教学,教师资格初中数学知识点
390179026367213612_wx,390179232747995136_wx,命题教学,教师资格初中数学知识点
390179026367213613_wx,390179232747995136_wx,问题解决的教学,教师资格初中数学知识点
390179026367213614_wx,390179232747995136_wx,数学基本思想方法,教师资格初中数学知识点
390179026367213615_wx,390179232768966656_wx,学习方式,教师资格初中数学知识点
390179026367213616_wx,390179232768966656_wx,学习方式之间的关系,教师资格初中数学知识点
390179026367213617_wx,390179232802521088_wx,数学课堂教学设计概述,教师资格初中数学知识点
390179026367213618_wx,390179232802521088_wx,数学教学设计的基本过程,教师资格初中数学知识点
390179026367213619_wx,390179232823492608_wx,创设数学教学情境,教师资格初中数学知识点
390179026367213620_wx,390179232823492608_wx,引导学生探究数学,教师资格初中数学知识点
390179026367213621_wx,390179232823492608_wx,有效进行数学课堂教学,教师资格初中数学知识点
390179026367213622_wx,390179232823492608_wx,数学课堂教学的基本技能,教师资格初中数学知识点
390179026367213623_wx,390179232823492608_wx,教学中各环节的设计,教师资格初中数学知识点
390179026367213624_wx,390179232844464128_wx,评价概述,教师资格初中数学知识点
390179026367213625_wx,390179232844464128_wx,数学课堂教学评价,教师资格初中数学知识点
390179026367213626_wx,390179232844464128_wx,学生数学学习评价,教师资格初中数学知识点
390179026367213627_wx,390179232844464128_wx,教师数学教学评价,教师资格初中数学知识点
390179026367213628_wx,390179232844464128_wx,教学案例的评析,教师资格初中数学知识点
390179232487948288_wx,0,数学学科知识,教师资格初中数学知识点
390179232513114112_wx,390179232487948288_wx,数学分析,教师资格初中数学知识点
390179232534085632_wx,390179232487948288_wx,高等代数,教师资格初中数学知识点
389723480828715008_wx,389723480807743488_wx,词法知识,教师资格初中英语知识点
389723480853880832_wx,389723480807743488_wx,句法知识,教师资格初中英语知识点
389723480874852352_wx,389723480807743488_wx,语音知识,教师资格初中英语知识点
389723480900018176_wx,389723480807743488_wx,语言学知识,教师资格初中英语知识点
389723480920989696_wx,389723480807743488_wx,阅读理解,教师资格初中英语知识点
389723480937766912_wx,0,英语语言教学知识与能力,教师资格初中英语知识点
389723306140225536_wx,389723480828715008_wx,名词和代词,教师资格初中英语知识点
389723480950349824_wx,389723480937766912_wx,英语教学基本理论,教师资格初中英语知识点
389723306140225537_wx,389723480828715008_wx,冠词和数词,教师资格初中英语知识点
389723480975515648_wx,389723480937766912_wx,初中英语课程标准,教师资格初中英语知识点
389723306140225538_wx,389723480828715008_wx,动词,教师资格初中英语知识点
389723481000681472_wx,389723480937766912_wx,英语语言知识教学,教师资格初中英语知识点
389723306140225539_wx,389723480828715008_wx,形容词和副词,教师资格初中英语知识点
389723481021652992_wx,389723480937766912_wx,英语语言技能教学,教师资格初中英语知识点
389723306140225540_wx,389723480828715008_wx,介词,教师资格初中英语知识点
389723481034235904_wx,0,英语教学设计,教师资格初中英语知识点
389723306144419840_wx,389723480828715008_wx,连词,教师资格初中英语知识点
389723481051013120_wx,389723481034235904_wx,教学设计理论基础,教师资格初中英语知识点
389723306144419841_wx,389723480853880832_wx,句子的成分和类型,教师资格初中英语知识点
389723481071984640_wx,389723481034235904_wx,教学设计内容分析,教师资格初中英语知识点
389723306144419842_wx,389723480853880832_wx,句子的时态和语态,教师资格初中英语知识点
389723481092956160_wx,389723481034235904_wx,不同课型的教学设计,教师资格初中英语知识点
389723306144419843_wx,389723480853880832_wx,复合句,教师资格初中英语知识点
389723481105539072_wx,0,英语教学实施与评价,教师资格初中英语知识点
389723306144419844_wx,389723480853880832_wx,非谓语动词,教师资格初中英语知识点
389723481118121984_wx,389723481105539072_wx,教学实施,教师资格初中英语知识点
389723306144419845_wx,389723480853880832_wx,主谓一致,教师资格初中英语知识点
389723481143287808_wx,389723481105539072_wx,课堂管理策略,教师资格初中英语知识点
389723306144419846_wx,389723480853880832_wx,虚拟语气,教师资格初中英语知识点
389723481168453632_wx,389723481105539072_wx,教学评价,教师资格初中英语知识点
389723306144419847_wx,389723480853880832_wx,特殊句型,教师资格初中英语知识点
389723306144419848_wx,389723480874852352_wx,字母和音素,教师资格初中英语知识点
389723306144419849_wx,389723480874852352_wx,语音的结合及其变化,教师资格初中英语知识点
389723306144419850_wx,389723480900018176_wx,语言学概述,教师资格初中英语知识点
389723306144419851_wx,389723480900018176_wx,语音学,教师资格初中英语知识点
389723306144419852_wx,389723480900018176_wx,音系学,教师资格初中英语知识点
389723306144419853_wx,389723480900018176_wx,形态学,教师资格初中英语知识点
389723306144419854_wx,389723480900018176_wx,句法学,教师资格初中英语知识点
389723306144419855_wx,389723480900018176_wx,语义学,教师资格初中英语知识点
389723306144419856_wx,389723480900018176_wx,语用学,教师资格初中英语知识点
389723306144419857_wx,389723480900018176_wx,修辞学,教师资格初中英语知识点
389723306144419858_wx,389723480900018176_wx,语言习得和外语教学,教师资格初中英语知识点
389723306144419859_wx,389723480900018176_wx,社会语言学,教师资格初中英语知识点
389723306144419860_wx,389723480920989696_wx,阅读理解,教师资格初中英语知识点
389723306144419861_wx,389723480950349824_wx,语言观、语言学习观和语言教学观,教师资格初中英语知识点
389723306144419862_wx,389723480950349824_wx,英语教学常用方法,教师资格初中英语知识点
389723306144419863_wx,389723480975515648_wx,初中英语课程基础知识,教师资格初中英语知识点
389723306144419864_wx,389723480975515648_wx,英语课程的目标,教师资格初中英语知识点
389723306144419865_wx,389723480975515648_wx,英语课程的分级标准,教师资格初中英语知识点
389723306144419866_wx,389723480975515648_wx,英语课程的实施建议,教师资格初中英语知识点
389723306144419867_wx,389723481000681472_wx,语音教学,教师资格初中英语知识点
389723306144419868_wx,389723481000681472_wx,词汇教学,教师资格初中英语知识点
389723306144419869_wx,389723481000681472_wx,语法教学,教师资格初中英语知识点
389723306144419870_wx,389723481000681472_wx,语篇教学,教师资格初中英语知识点
389723306144419871_wx,389723481021652992_wx,听力教学,教师资格初中英语知识点
389723306144419872_wx,389723481021652992_wx,口语教学,教师资格初中英语知识点
389723306144419873_wx,389723481021652992_wx,阅读教学,教师资格初中英语知识点
389723306144419874_wx,389723481021652992_wx,写作教学,教师资格初中英语知识点
389723306144419875_wx,389723481051013120_wx,教学设计概述,教师资格初中英语知识点
389723306144419876_wx,389723481051013120_wx,学情分析,教师资格初中英语知识点
389723306144419877_wx,389723481051013120_wx,教材分析,教师资格初中英语知识点
389723306144419878_wx,389723481071984640_wx,教学目标,教师资格初中英语知识点
389723306144419879_wx,389723481071984640_wx,教学重难点,教师资格初中英语知识点
389723306144419880_wx,389723481071984640_wx,教学情境创设,教师资格初中英语知识点
389723306144419881_wx,389723481071984640_wx,教学过程,教师资格初中英语知识点
389723306144419882_wx,389723481092956160_wx,英语课型概述,教师资格初中英语知识点
389723306144419883_wx,389723481092956160_wx,主要课型的教学设计,教师资格初中英语知识点
389723306144419884_wx,389723481118121984_wx,教学基本能力,教师资格初中英语知识点
389723306144419885_wx,389723481118121984_wx,教学方法和技巧,教师资格初中英语知识点
389723306144419886_wx,389723481143287808_wx,课堂管理的基本方法,教师资格初中英语知识点
389723306144419887_wx,389723481143287808_wx,课堂中的师生角色,教师资格初中英语知识点
389723306144419888_wx,389723481168453632_wx,教学评价概述,教师资格初中英语知识点
389723306144419889_wx,389723481168453632_wx,英语语言测试,教师资格初中英语知识点
389723306144419890_wx,389723481168453632_wx,教学反思,教师资格初中英语知识点
389723480807743488_wx,0,英语语言知识与能力,教师资格初中英语知识点
392322765575503902_wx,392323135450255360_wx,音乐教学评价的分类,教师资格初中音乐知识点
392322765575503885_wx,392323135337009152_wx,音乐心理学基础,教师资格初中音乐知识点
392322765575503903_wx,392323135450255360_wx,学生音乐学习评价,教师资格初中音乐知识点
392322765575503886_wx,392323135362174976_wx,课程性质、基本理念与设计思路,教师资格初中音乐知识点
392322765575503904_wx,392323135450255360_wx,教师音乐教学评价,教师资格初中音乐知识点
392322765575503887_wx,392323135362174976_wx,课程目标,教师资格初中音乐知识点
392322765575503905_wx,392323135467032576_wx,教学反思,教师资格初中音乐知识点
392322765575503888_wx,392323135362174976_wx,课程内容,教师资格初中音乐知识点
392322765575503906_wx,392323135488004096_wx,音乐教学课例点评,教师资格初中音乐知识点
392322765575503889_wx,392323135362174976_wx,实施建议,教师资格初中音乐知识点
392323135244734464_wx,0,学科知识与技能,教师资格初中音乐知识点
392322765575503890_wx,392323135378952192_wx,音乐教学内容与学情分析,教师资格初中音乐知识点
392323135261511680_wx,392323135244734464_wx,音乐基础理论,教师资格初中音乐知识点
392322765575503891_wx,392323135378952192_wx,音乐教学目标设计,教师资格初中音乐知识点
392323135278288896_wx,392323135244734464_wx,曲式分析与音乐编创,教师资格初中音乐知识点
392322765575503892_wx,392323135378952192_wx,音乐教学重难点设计,教师资格初中音乐知识点
392323135299260416_wx,392323135244734464_wx,音乐表现形式,教师资格初中音乐知识点
392322765575503893_wx,392323135378952192_wx,音乐教学策略设计,教师资格初中音乐知识点
392323135316037632_wx,392323135244734464_wx,中外多元音乐文化,教师资格初中音乐知识点
392322765575503894_wx,392323135378952192_wx,音乐教学过程设计,教师资格初中音乐知识点
392323135337009152_wx,392323135244734464_wx,音乐相关学科知识,教师资格初中音乐知识点
392322765575503895_wx,392323135378952192_wx,不同课型的音乐教学设计示例,教师资格初中音乐知识点
392323135349592064_wx,0,教学设计,教师资格初中音乐知识点
392322765575503896_wx,392323135404118016_wx,教育哲学观,教师资格初中音乐知识点
392323135362174976_wx,392323135349592064_wx,义务教育音乐课程标准,教师资格初中音乐知识点
392322765575503897_wx,392323135404118016_wx,音乐教学方法,教师资格初中音乐知识点
392323135378952192_wx,392323135349592064_wx,音乐教学设计,教师资格初中音乐知识点
392322765575503898_wx,392323135425089536_wx,音乐课堂教学调控,教师资格初中音乐知识点
392323135391535104_wx,0,教学实施,教师资格初中音乐知识点
392322765575503899_wx,392323135425089536_wx,音乐课堂教学生成,教师资格初中音乐知识点
392323135404118016_wx,392323135391535104_wx,音乐教育理论及教学法,教师资格初中音乐知识点
392322765575503900_wx,392323135425089536_wx,音乐教学案例分析,教师资格初中音乐知识点
392323135425089536_wx,392323135391535104_wx,音乐课堂教学调控与生成,教师资格初中音乐知识点
392322765575503901_wx,392323135450255360_wx,音乐教学评价的含义与功能,教师资格初中音乐知识点
392323135437672448_wx,0,教学评价,教师资格初中音乐知识点
392323135450255360_wx,392323135437672448_wx,教学评价概述,教师资格初中音乐知识点
392323135467032576_wx,392323135437672448_wx,教学反思,教师资格初中音乐知识点
392323135488004096_wx,392323135437672448_wx,音乐教学课例点评,教师资格初中音乐知识点
392322765575503872_wx,392323135261511680_wx,基本乐理,教师资格初中音乐知识点
392322765575503873_wx,392323135261511680_wx,基础和声,教师资格初中音乐知识点
392322765575503874_wx,392323135261511680_wx,复调基础,教师资格初中音乐知识点
392322765575503875_wx,392323135278288896_wx,曲式分析,教师资格初中音乐知识点
392322765575503876_wx,392323135278288896_wx,音乐发展的基本手法,教师资格初中音乐知识点
392322765575503877_wx,392323135278288896_wx,音乐编创,教师资格初中音乐知识点
392322765575503878_wx,392323135299260416_wx,声乐基础知识,教师资格初中音乐知识点
392322765575503879_wx,392323135299260416_wx,器乐基础知识,教师资格初中音乐知识点
392322765575503880_wx,392323135316037632_wx,中国音乐史,教师资格初中音乐知识点
392322765575503881_wx,392323135316037632_wx,中国民族民间音乐及民间器乐,教师资格初中音乐知识点
392322765575503882_wx,392323135316037632_wx,西方音乐史,教师资格初中音乐知识点
392322765575503883_wx,392323135316037632_wx,世界民族民间音乐及民间器乐,教师资格初中音乐知识点
392322765575503884_wx,392323135337009152_wx,音乐美学基础,教师资格初中音乐知识点
390428316087902208_wx,390428488469606400_wx,运动解剖学,教师资格初中体育与健康知识点
390428316087902209_wx,390428488469606400_wx,运动生理学,教师资格初中体育与健康知识点
390428316087902210_wx,390428488469606400_wx,体育保健学,教师资格初中体育与健康知识点
390428316087902211_wx,390428488469606400_wx,运动营养学,教师资格初中体育与健康知识点
390428316087902212_wx,390428488515743744_wx,体育概论,教师资格初中体育与健康知识点
390428316087902213_wx,390428488515743744_wx,学校体育学,教师资格初中体育与健康知识点
390428316087902214_wx,390428488515743744_wx,体育心理学,教师资格初中体育与健康知识点
390428316087902215_wx,390428488515743744_wx,运动训练学,教师资格初中体育与健康知识点
390428316087902216_wx,390428488540909568_wx,田径,教师资格初中体育与健康知识点
390428316087902217_wx,390428488540909568_wx,足球,教师资格初中体育与健康知识点
390428316087902218_wx,390428488540909568_wx,排球,教师资格初中体育与健康知识点
390428316087902219_wx,390428488540909568_wx,篮球,教师资格初中体育与健康知识点
390428316087902220_wx,390428488540909568_wx,乒乓球,教师资格初中体育与健康知识点
390428316087902221_wx,390428488540909568_wx,体操,教师资格初中体育与健康知识点
390428316087902222_wx,390428488540909568_wx,健美操,教师资格初中体育与健康知识点
390428316087902223_wx,390428488540909568_wx,武术,教师资格初中体育与健康知识点
390428316087902224_wx,390428488591241216_wx,体育与健康课程标准概述,教师资格初中体育与健康知识点
390428316087902225_wx,390428488628989952_wx,教学设计概述,教师资格初中体育与健康知识点
390428316087902226_wx,390428488628989952_wx,教学目标及重难点设计,教师资格初中体育与健康知识点
390428316087902227_wx,390428488628989952_wx,体育与健康教学设计模板,教师资格初中体育与健康知识点
390428316087902228_wx,390428488670932992_wx,体育教学概述,教师资格初中体育与健康知识点
390428316087902229_wx,390428488670932992_wx,体育教学方法,教师资格初中体育与健康知识点
390428316087902230_wx,390428488670932992_wx,体育教学组织形式,教师资格初中体育与健康知识点
390428316087902231_wx,390428488708681728_wx,体育课密度和运动负荷,教师资格初中体育与健康知识点
390428316087902232_wx,390428488708681728_wx,体育课安全预防及应急措施,教师资格初中体育与健康知识点
390428316087902233_wx,390428488742236160_wx,体育教学资源及其开发与利用,教师资格初中体育与健康知识点
390428316087902234_wx,390428488779984896_wx,体育与健康教学评价概述,教师资格初中体育与健康知识点
390428316087902235_wx,390428488805150720_wx,学生学习评价,教师资格初中体育与健康知识点
390428316087902236_wx,390428488805150720_wx,教师教学评价,教师资格初中体育与健康知识点
390428488448634880_wx,0,学科知识与能力,教师资格初中体育与健康知识点
390428488469606400_wx,390428488448634880_wx,运动人体科学,教师资格初中体育与健康知识点
390428488515743744_wx,390428488448634880_wx,体育教育学,教师资格初中体育与健康知识点
390428488540909568_wx,390428488448634880_wx,体育运动项目,教师资格初中体育与健康知识点
390428488561881088_wx,0,教学设计,教师资格初中体育与健康知识点
390428488591241216_wx,390428488561881088_wx,体育与健康课程标准概述,教师资格初中体育与健康知识点
390428488628989952_wx,390428488561881088_wx,体育与健康教学设计,教师资格初中体育与健康知识点
390428488649961472_wx,0,教学实施,教师资格初中体育与健康知识点
390428488670932992_wx,390428488649961472_wx,体育教学,教师资格初中体育与健康知识点
390428488708681728_wx,390428488649961472_wx,体育课密度、运动负荷及安全措施,教师资格初中体育与健康知识点
390428488742236160_wx,390428488649961472_wx,体育教学资源及其开发与利用,教师资格初中体育与健康知识点
390428488763207680_wx,0,教学评价,教师资格初中体育与健康知识点
390428488779984896_wx,390428488763207680_wx,体育与健康教学评价概述,教师资格初中体育与健康知识点
390428488805150720_wx,390428488763207680_wx,学生学习评价与教师教学评价,教师资格初中体育与健康知识点
392331703750610954_wx,392331919740489728_wx,欧洲中世纪美术,教师资格初中美术知识点
392331703750610955_wx,392331919740489728_wx,欧洲文艺复兴时期美术,教师资格初中美术知识点
392331703750610988_wx,392331920025702400_wx,教学反思的过程与方法,教师资格初中美术知识点
392331703750610956_wx,392331919740489728_wx,17、18世纪欧洲美术,教师资格初中美术知识点
392331919698546688_wx,0,学科专业知识,教师资格初中美术知识点
392331703750610957_wx,392331919740489728_wx,19世纪欧洲美术,教师资格初中美术知识点
392331919719518208_wx,392331919698546688_wx,中国美术史,教师资格初中美术知识点
392331703750610958_wx,392331919740489728_wx,20世纪西方现代美术,教师资格初中美术知识点
392331919740489728_wx,392331919698546688_wx,外国美术史,教师资格初中美术知识点
392331703750610959_wx,392331919740489728_wx,欧洲之外的美术,教师资格初中美术知识点
392331919765655552_wx,392331919698546688_wx,美术常识与技法理论,教师资格初中美术知识点
392331703750610960_wx,392331919765655552_wx,美术基础知识,教师资格初中美术知识点
392331919786627072_wx,392331919698546688_wx,美术创作与欣赏,教师资格初中美术知识点
392331703750610961_wx,392331919765655552_wx,美术的分类,教师资格初中美术知识点
392331919811792896_wx,392331919698546688_wx,初中美术课程标准,教师资格初中美术知识点
392331703750610962_wx,392331919765655552_wx,美术技法理论,教师资格初中美术知识点
392331919836958720_wx,392331919698546688_wx,美术学科教学基础理论,教师资格初中美术知识点
392331703750610963_wx,392331919786627072_wx,美术创作与美术作品,教师资格初中美术知识点
392331919853735936_wx,0,教学设计,教师资格初中美术知识点
392331703750610964_wx,392331919786627072_wx,美术鉴赏与美术批评,教师资格初中美术知识点
392331919866318848_wx,392331919853735936_wx,教学设计概述,教师资格初中美术知识点
392331703750610965_wx,392331919811792896_wx,美术课程概述,教师资格初中美术知识点
392331919891484672_wx,392331919853735936_wx,教学目标、重难点设计,教师资格初中美术知识点
392331703750610966_wx,392331919811792896_wx,初中美术课程标准,教师资格初中美术知识点
392331919912456192_wx,392331919853735936_wx,教学过程设计,教师资格初中美术知识点
392331703750610967_wx,392331919836958720_wx,美术教育,教师资格初中美术知识点
392331919929233408_wx,0,教学实施,教师资格初中美术知识点
392331703750610968_wx,392331919836958720_wx,美术课程与教材,教师资格初中美术知识点
392331919946010624_wx,392331919929233408_wx,美术教学实施概述,教师资格初中美术知识点
392331703750610969_wx,392331919836958720_wx,初中生的身心发展,教师资格初中美术知识点
392331919971176448_wx,392331919929233408_wx,美术课堂的教学艺术,教师资格初中美术知识点
392331703750610970_wx,392331919836958720_wx,美术教师的基本素质与能力,教师资格初中美术知识点
392331919987953664_wx,0,教学评价与反思,教师资格初中美术知识点
392331703750610971_wx,392331919866318848_wx,教学设计的含义及特点,教师资格初中美术知识点
392331920004730880_wx,392331919987953664_wx,教学评价,教师资格初中美术知识点
392331703750610972_wx,392331919866318848_wx,教学设计的依据、原则和基本要素,教师资格初中美术知识点
392331920025702400_wx,392331919987953664_wx,教学反思,教师资格初中美术知识点
392331703750610944_wx,392331919719518208_wx,史前美术,教师资格初中美术知识点
392331703750610973_wx,392331919891484672_wx,教学目标设计,教师资格初中美术知识点
392331703750610945_wx,392331919719518208_wx,先秦美术,教师资格初中美术知识点
392331703750610974_wx,392331919891484672_wx,教学重难点设计,教师资格初中美术知识点
392331703750610946_wx,392331919719518208_wx,秦汉美术,教师资格初中美术知识点
392331703750610975_wx,392331919912456192_wx,教学过程概述,教师资格初中美术知识点
392331703750610947_wx,392331919719518208_wx,魏晋南北朝美术,教师资格初中美术知识点
392331703750610976_wx,392331919912456192_wx,教学过程的设计和实例,教师资格初中美术知识点
392331703750610948_wx,392331919719518208_wx,隋唐美术,教师资格初中美术知识点
392331703750610977_wx,392331919946010624_wx,教学实施的含义与方法,教师资格初中美术知识点
392331703750610949_wx,392331919719518208_wx,五代宋元美术,教师资格初中美术知识点
392331703750610978_wx,392331919946010624_wx,教学实施的组织形式及原则,教师资格初中美术知识点
392331703750610950_wx,392331919719518208_wx,明清美术,教师资格初中美术知识点
392331703750610979_wx,392331919971176448_wx,美术课堂的教学策略,教师资格初中美术知识点
